Kabupaten,Hist_Mean,Hist_Std,Hist_Min,Hist_Max,Fore_Mean,Fore_Std,Fore_Min,Fore_Max,Data_Points_Hist,Data_Points_Fore,Has_Forecast
Jember,141.4,14.91,71.05,210.41,152.28,5.71,140.96,167.97,386,75,True
Jembrana,35.79,2.55,15.81,45.6,36.2,2.45,30.89,43.07,386,75,True
Jepara,217.8,17.77,114.49,294.1,213.02,12.12,193.31,253.23,386,75,True
Jombang,194.9,17.89,95.07,286.63,206.15,6.1,193.6,221.14,386,75,True
Karanganyar,169.81,15.52,80.87,242.23,172.59,11.26,149.98,200.62,386,75,True
Karangasem,77.12,8.18,18.44,110.85,79.17,6.68,66.52,97.39,386,75,True
Kebumen,178.37,25.81,83.16,342.03,182.89,10.51,166.75,214.49,386,75,True
Kediri,212.06,18.83,104.42,311.91,231.53,8.5,212.91,250.27,386,75,True
Kendal,181.18,17.58,90.02,269.2,192.64,10.9,172.24,224.65,386,75,True
Klaten,281.89,28.56,131.51,409.93,287.32,18.59,254.01,343.06,386,75,True
Klungkung,27.39,2.68,11.92,41.1,28.63,1.84,24.53,31.83,386,75,True
Kota Batu,34.99,3.93,16.51,49.0,36.31,2.58,32.36,44.83,386,75,True
Kota Bima,8.23,1.72,3.13,13.92,10.02,0.87,8.33,12.38,386,75,True
Kota Blitar,28.62,1.73,13.07,34.76,31.69,0.99,29.87,33.89,386,75,True
Kota Denpasar,307.89,33.48,70.27,427.97,354.53,13.94,324.98,382.82,386,75,True
Kota Kediri,63.99,4.01,31.12,80.62,72.04,2.6,65.76,76.58,386,75,True
Kota Kupang,53.75,7.31,23.11,80.07,63.04,3.73,54.98,71.06,386,75,True
Kota Madiun,33.81,2.39,16.64,42.98,33.5,2.9,26.94,40.34,386,75,True
Kota Magelang,40.98,2.95,18.63,55.16,47.88,1.48,45.27,51.53,386,75,True
Kota Malang,166.33,15.2,81.22,227.07,196.31,9.57,159.73,212.89,386,75,True
Kota Mataram,52.41,8.17,22.61,81.15,68.04,3.11,61.28,75.57,386,75,True
Kota Mojokerto,37.65,1.85,17.75,48.5,39.03,1.35,36.66,42.71,386,75,True
Kota Pasuruan,28.13,1.79,13.9,38.03,28.96,0.99,26.81,30.66,386,75,True
Kota Pekalongan,72.09,4.98,33.26,95.77,73.74,4.03,65.8,83.65,386,75,True
Kota Probolinggo,28.37,1.64,14.43,35.49,28.57,0.9,26.44,30.48,386,75,True
