Kabupaten,Region,Province,Hist_Mean,Hist_Std,Hist_Min,Hist_Max,Fore_Mean,Fore_Std,Fore_Min,Fore_Max,Data_Points_Hist,Data_Points_Fore,Absolute_Growth,Percentage_Growth,Has_Forecast
Sampang,EAST JAVA,JAWA TIMUR,96.06,14.47,44.2,147.38,110.96,4.79,101.77,121.46,386,75,14.9,15.52,True
Tegal,CENTRAL JAVA,JAWA TENGAH,292.65,35.65,85.45,458.08,306.22,15.65,273.2,357.62,386,75,13.58,4.64,True
Semarang,CENTRAL JAVA,JAWA TENGAH,226.96,20.68,111.83,334.13,240.51,11.33,216.09,279.6,386,75,13.54,5.97,True
Grobogan,CENTRAL JAVA,JAWA TENGAH,144.07,19.3,68.42,253.24,157.29,6.21,147.35,177.64,386,75,13.22,9.18,True
Kota Yogyakarta,CENTRAL JAVA,DAERAH ISTIMEWA YOGYAKARTA,126.33,10.46,58.4,173.93,139.49,7.76,123.94,159.47,386,75,13.16,10.42,True
Tabanan,BALI NUSRA,BALI,92.96,8.75,20.34,126.25,105.56,4.39,95.78,115.19,386,75,12.61,13.56,True
Kendal,CENTRAL JAVA,JAWA TENGAH,181.18,17.58,90.02,269.2,192.64,10.9,172.24,224.65,386,75,11.46,6.33,True
Pati,CENTRAL JAVA,JAWA TENGAH,109.74,11.64,51.94,165.29,121.2,4.34,112.79,134.52,386,75,11.45,10.44,True
Jombang,EAST JAVA,JAWA TIMUR,194.9,17.89,95.07,286.63,206.15,6.1,193.6,221.14,386,75,11.25,5.77,True
Lombok Tengah,BALI NUSRA,NUSA TENGGARA BARAT,55.16,7.17,24.37,83.47,66.4,3.84,58.87,79.76,386,75,11.24,20.38,True
Jember,EAST JAVA,JAWA TIMUR,141.4,14.91,71.05,210.41,152.28,5.71,140.96,167.97,386,75,10.88,7.7,True
Lombok Barat,BALI NUSRA,NUSA TENGGARA BARAT,39.04,5.9,17.06,64.24,49.51,2.9,43.48,57.46,386,75,10.46,26.8,True
Mojokerto,EAST JAVA,JAWA TIMUR,228.29,16.73,107.64,317.75,238.49,7.96,223.81,256.91,386,75,10.2,4.47,True
Sumenep,EAST JAVA,JAWA TIMUR,51.04,5.77,25.45,70.69,60.82,2.23,53.83,64.83,386,75,9.78,19.16,True
Blora,CENTRAL JAVA,JAWA TENGAH,82.09,10.47,38.09,145.45,91.61,4.08,84.78,103.33,386,75,9.52,11.59,True
Demak,CENTRAL JAVA,JAWA TENGAH,165.68,14.53,83.5,234.34,175.09,6.47,162.27,197.25,386,75,9.4,5.68,True
Kota Kupang,BALI NUSRA,NUSA TENGGARA TIMUR,53.75,7.31,23.11,80.07,63.04,3.73,54.98,71.06,386,75,9.29,17.29,True
Lombok Timur,BALI NUSRA,NUSA TENGGARA BARAT,42.32,6.36,18.66,65.89,51.42,3.95,44.13,61.84,386,75,9.1,21.5,True
Banyumas,CENTRAL JAVA,JAWA TENGAH,318.03,26.88,160.88,441.49,326.47,15.35,294.3,360.61,386,75,8.44,2.65,True
Kota Kediri,EAST JAVA,JAWA TIMUR,63.99,4.01,31.12,80.62,72.04,2.6,65.76,76.58,386,75,8.05,12.59,True
Kota Salatiga,CENTRAL JAVA,JAWA TENGAH,56.69,4.05,27.12,78.11,64.59,2.2,60.73,70.55,386,75,7.91,13.95,True
Tulungagung,EAST JAVA,JAWA TIMUR,108.4,9.04,49.72,153.9,116.31,3.91,108.4,123.24,386,75,7.91,7.3,True
Sukoharjo,CENTRAL JAVA,JAWA TENGAH,256.83,19.83,124.56,362.45,264.19,14.15,233.8,302.5,386,75,7.36,2.87,True
Kota Magelang,CENTRAL JAVA,JAWA TENGAH,40.98,2.95,18.63,55.16,47.88,1.48,45.27,51.53,386,75,6.91,16.85,True
Bojonegoro,EAST JAVA,JAWA TIMUR,164.5,15.53,83.48,254.86,171.25,5.48,160.16,183.12,386,75,6.75,4.1,True
Sumba Barat Daya,BALI NUSRA,NUSA TENGGARA TIMUR,15.13,3.45,5.28,23.25,21.7,0.79,20.13,23.88,386,75,6.57,43.45,True
Pasuruan,EAST JAVA,JAWA TIMUR,220.24,13.26,103.46,300.92,226.57,7.08,214.92,241.11,386,75,6.33,2.87,True
Kupang,BALI NUSRA,NUSA TENGGARA TIMUR,34.06,4.51,14.36,50.87,39.97,2.91,34.34,47.96,386,75,5.92,17.37,True
Sumba Timur,BALI NUSRA,NUSA TENGGARA TIMUR,20.55,3.1,8.95,31.45,26.09,1.24,23.08,28.64,386,75,5.53,26.91,True
Klaten,CENTRAL JAVA,JAWA TENGAH,281.89,28.56,131.51,409.93,287.32,18.59,254.01,343.06,386,75,5.43,1.93,True
Kota Surakarta,CENTRAL JAVA,JAWA TENGAH,182.94,12.49,85.76,243.38,188.15,11.99,164.46,214.5,386,75,5.21,2.85,True
Tuban,EAST JAVA,JAWA TIMUR,167.76,13.25,83.06,233.47,172.82,7.09,160.6,191.85,386,75,5.06,3.01,True
Bima,BALI NUSRA,NUSA TENGGARA BARAT,11.86,3.42,4.5,20.73,16.91,1.65,13.53,21.44,386,75,5.05,42.63,True
Kota Tegal,CENTRAL JAVA,JAWA TENGAH,65.99,5.1,32.84,89.26,71.05,2.68,65.22,78.16,386,75,5.05,7.66,True
Buleleng,BALI NUSRA,BALI,88.06,7.41,17.67,122.85,93.05,4.15,83.96,103.62,386,75,4.99,5.67,True
Boyolali,CENTRAL JAVA,JAWA TENGAH,222.06,22.85,106.8,323.4,227.02,10.67,208.78,261.35,386,75,4.96,2.24,True
Banjarnegara,CENTRAL JAVA,JAWA TENGAH,104.25,12.61,52.84,177.11,109.04,4.31,101.95,122.32,386,75,4.78,4.59,True
Sumbawa,BALI NUSRA,NUSA TENGGARA BARAT,16.79,4.65,5.9,28.96,21.48,2.42,15.77,26.69,386,75,4.68,27.89,True
Flores Timur,BALI NUSRA,NUSA TENGGARA TIMUR,14.64,2.89,5.28,20.65,19.31,0.92,17.28,22.72,386,75,4.67,31.94,True
Kebumen,CENTRAL JAVA,JAWA TENGAH,178.37,25.81,83.16,342.03,182.89,10.51,166.75,214.49,386,75,4.52,2.54,True
Ponorogo,EAST JAVA,JAWA TIMUR,61.16,6.5,28.39,106.74,65.51,2.37,61.59,75.92,386,75,4.35,7.11,True
Timor Tengah Selatan,BALI NUSRA,NUSA TENGGARA TIMUR,14.11,2.67,5.19,21.49,17.83,1.38,15.56,22.49,386,75,3.72,26.37,True
Sikka,BALI NUSRA,NUSA TENGGARA TIMUR,14.71,3.14,5.28,22.26,18.31,1.29,15.81,22.49,386,75,3.6,24.49,True
Batang,CENTRAL JAVA,JAWA TENGAH,133.68,11.77,67.05,187.31,137.25,7.49,122.4,157.15,386,75,3.57,2.67,True
Manggarai Timur,BALI NUSRA,NUSA TENGGARA TIMUR,13.93,2.66,4.35,21.37,17.46,1.42,8.08,20.45,386,75,3.53,25.37,True
Dompu,BALI NUSRA,NUSA TENGGARA BARAT,17.11,4.73,5.53,29.61,20.46,3.0,14.92,26.92,386,75,3.35,19.57,True
Rote Ndao,BALI NUSRA,NUSA TENGGARA TIMUR,8.97,1.82,3.21,14.18,12.1,0.68,10.95,14.39,386,75,3.13,34.95,True
Kota Blitar,EAST JAVA,JAWA TIMUR,28.62,1.73,13.07,34.76,31.69,0.99,29.87,33.89,386,75,3.07,10.74,True
Manggarai,BALI NUSRA,NUSA TENGGARA TIMUR,24.35,4.2,10.0,38.51,27.3,3.02,16.78,34.78,386,75,2.95,12.1,True
Nganjuk,EAST JAVA,JAWA TIMUR,108.64,11.89,52.32,191.06,111.57,4.58,102.65,124.06,386,75,2.93,2.7,True
Lamongan,EAST JAVA,JAWA TIMUR,183.54,19.6,0.0,280.23,186.37,11.91,162.84,224.24,386,75,2.83,1.54,True
Situbondo,EAST JAVA,JAWA TIMUR,34.7,2.56,16.29,45.39,37.52,1.18,34.51,39.95,386,75,2.82,8.13,True
Wonosobo,CENTRAL JAVA,JAWA TENGAH,76.93,9.2,36.51,134.49,79.75,3.61,73.82,93.71,386,75,2.82,3.67,True
Karanganyar,CENTRAL JAVA,JAWA TENGAH,169.81,15.52,80.87,242.23,172.59,11.26,149.98,200.62,386,75,2.78,1.64,True
Malaka,BALI NUSRA,NUSA TENGGARA TIMUR,6.36,1.61,2.31,9.97,9.08,0.46,8.44,10.58,386,75,2.72,42.7,True
Cilacap,CENTRAL JAVA,JAWA TENGAH,335.66,32.33,164.02,509.26,338.37,18.0,302.03,383.54,386,75,2.71,0.81,True
Bangli,BALI NUSRA,BALI,29.98,2.84,5.82,44.51,32.63,1.93,28.76,37.48,386,75,2.66,8.86,True
Timor Tengah Utara,BALI NUSRA,NUSA TENGGARA TIMUR,10.51,1.83,4.47,15.57,13.17,0.6,12.03,14.6,386,75,2.66,25.28,True
Purworejo,CENTRAL JAVA,JAWA TENGAH,106.27,14.31,48.28,198.33,108.94,6.38,98.79,128.88,386,75,2.66,2.51,True
Sumba Barat,BALI NUSRA,NUSA TENGGARA TIMUR,5.86,1.31,2.11,8.96,8.52,0.38,7.69,9.74,386,75,2.65,45.23,True
Lombok Utara,BALI NUSRA,NUSA TENGGARA BARAT,11.91,1.73,5.2,18.26,14.46,0.89,12.92,17.0,386,75,2.55,21.44,True
Purbalingga,CENTRAL JAVA,JAWA TENGAH,129.81,13.27,63.8,198.14,132.11,6.48,119.57,150.62,386,75,2.29,1.77,True
Karangasem,BALI NUSRA,BALI,77.12,8.18,18.44,110.85,79.17,6.68,66.52,97.39,386,75,2.05,2.66,True
Kota Bima,BALI NUSRA,NUSA TENGGARA BARAT,8.23,1.72,3.13,13.92,10.02,0.87,8.33,12.38,386,75,1.8,21.86,True
Rembang,CENTRAL JAVA,JAWA TENGAH,53.51,5.16,24.89,78.8,55.27,3.72,47.78,68.87,386,75,1.76,3.29,True
Kota Pekalongan,CENTRAL JAVA,JAWA TENGAH,72.09,4.98,33.26,95.77,73.74,4.03,65.8,83.65,386,75,1.65,2.29,True
Lumajang,EAST JAVA,JAWA TIMUR,55.53,5.86,28.76,90.54,57.16,1.85,53.46,62.09,386,75,1.64,2.95,True
Manggarai Barat,BALI NUSRA,NUSA TENGGARA TIMUR,22.23,4.04,8.56,36.04,23.79,3.31,13.71,30.95,386,75,1.57,7.05,True
Kota Mojokerto,EAST JAVA,JAWA TIMUR,37.65,1.85,17.75,48.5,39.03,1.35,36.66,42.71,386,75,1.38,3.67,True
Belu,BALI NUSRA,NUSA TENGGARA TIMUR,6.68,1.28,2.64,10.64,8.03,0.72,6.67,10.15,386,75,1.35,20.22,True
Bondowoso,EAST JAVA,JAWA TIMUR,32.13,3.29,17.22,46.74,33.47,1.11,30.85,35.75,386,75,1.34,4.18,True
Kota Batu,EAST JAVA,JAWA TIMUR,34.99,3.93,16.51,49.0,36.31,2.58,32.36,44.83,386,75,1.32,3.78,True
Klungkung,BALI NUSRA,BALI,27.39,2.68,11.92,41.1,28.63,1.84,24.53,31.83,386,75,1.24,4.53,True
Sumbawa Barat,BALI NUSRA,NUSA TENGGARA BARAT,11.45,0.94,5.39,15.66,12.45,0.48,10.76,13.54,386,75,1.0,8.75,True
Kudus,CENTRAL JAVA,JAWA TENGAH,154.76,10.75,81.84,216.91,155.75,7.14,140.33,175.1,386,75,0.99,0.64,True
Banyuwangi,EAST JAVA,JAWA TIMUR,73.18,10.04,33.41,136.34,74.1,4.65,66.09,86.96,386,75,0.92,1.25,True
Kota Pasuruan,EAST JAVA,JAWA TIMUR,28.13,1.79,13.9,38.03,28.96,0.99,26.81,30.66,386,75,0.82,2.92,True
Sumba Tengah,BALI NUSRA,NUSA TENGGARA TIMUR,3.11,0.45,0.98,4.1,3.85,0.15,3.57,4.26,386,75,0.73,23.56,True
Nagekeo,BALI NUSRA,NUSA TENGGARA TIMUR,7.23,1.5,2.41,10.67,7.8,0.76,3.52,9.73,386,75,0.57,7.88,True
Sragen,CENTRAL JAVA,JAWA TENGAH,110.52,13.06,52.27,191.84,111.07,6.81,98.95,130.31,386,75,0.55,0.5,True
Jembrana,BALI NUSRA,BALI,35.79,2.55,15.81,45.6,36.2,2.45,30.89,43.07,386,75,0.41,1.15,True
Temanggung,CENTRAL JAVA,JAWA TENGAH,105.0,9.68,58.06,155.31,105.22,5.2,95.37,119.79,386,75,0.22,0.21,True
Kota Probolinggo,EAST JAVA,JAWA TIMUR,28.37,1.64,14.43,35.49,28.57,0.9,26.44,30.48,386,75,0.19,0.68,True
Ende,BALI NUSRA,NUSA TENGGARA TIMUR,16.1,2.65,5.04,22.84,16.28,2.51,12.0,22.44,386,75,0.18,1.11,True
Magetan,EAST JAVA,JAWA TIMUR,71.54,9.57,33.66,135.96,71.73,5.7,61.87,88.55,386,75,0.18,0.26,True
Sabu Raijua,BALI NUSRA,NUSA TENGGARA TIMUR,0.07,0.05,0.01,0.55,0.14,0.04,0.06,0.21,384,75,0.07,110.59,True
Trenggalek,EAST JAVA,JAWA TIMUR,21.71,3.62,10.1,48.46,21.65,1.15,20.03,25.34,386,75,-0.07,-0.31,True
Ngawi,EAST JAVA,JAWA TIMUR,102.07,13.85,0.0,186.04,101.88,5.79,92.86,117.86,386,75,-0.19,-0.19,True
Madiun,EAST JAVA,JAWA TIMUR,73.29,8.36,35.37,127.64,73.07,4.57,64.31,84.95,386,75,-0.22,-0.31,True
Kota Madiun,EAST JAVA,JAWA TIMUR,33.81,2.39,16.64,42.98,33.5,2.9,26.94,40.34,386,75,-0.31,-0.92,True
Lembata,BALI NUSRA,NUSA TENGGARA TIMUR,3.87,0.52,1.71,5.59,3.53,0.78,2.05,5.33,386,75,-0.34,-8.69,True
Pacitan,EAST JAVA,JAWA TIMUR,17.21,3.3,8.09,42.55,16.87,1.15,15.16,20.52,386,75,-0.35,-2.02,True
Ngada,BALI NUSRA,NUSA TENGGARA TIMUR,8.56,1.87,2.57,13.6,8.13,1.54,5.04,12.5,386,75,-0.44,-5.11,True
Alor,BALI NUSRA,NUSA TENGGARA TIMUR,5.37,0.83,1.51,8.05,4.79,0.72,3.3,6.49,386,75,-0.58,-10.81,True
Brebes,CENTRAL JAVA,JAWA TENGAH,292.74,34.08,145.71,472.09,292.05,14.32,268.99,335.91,386,75,-0.69,-0.24,True
Kulon Progo,CENTRAL JAVA,DAERAH ISTIMEWA YOGYAKARTA,70.32,6.58,34.15,100.12,68.95,4.82,59.15,82.8,386,75,-1.37,-1.95,True
Probolinggo,EAST JAVA,JAWA TIMUR,74.15,8.65,33.88,112.19,72.03,3.8,65.92,81.28,386,75,-2.12,-2.86,True
Gunungkidul,CENTRAL JAVA,DAERAH ISTIMEWA YOGYAKARTA,90.63,12.14,41.3,159.22,87.7,8.7,68.79,112.91,386,75,-2.93,-3.23,True
Pemalang,CENTRAL JAVA,JAWA TENGAH,208.36,24.37,105.23,342.79,203.92,12.14,183.87,248.38,386,75,-4.44,-2.13,True
Pekalongan,CENTRAL JAVA,JAWA TENGAH,215.5,18.36,115.9,306.96,210.83,11.08,187.96,238.0,386,75,-4.68,-2.17,True
Jepara,CENTRAL JAVA,JAWA TENGAH,217.8,17.77,114.49,294.1,213.02,12.12,193.31,253.23,386,75,-4.78,-2.19,True
Wonogiri,CENTRAL JAVA,JAWA TENGAH,97.64,15.86,47.17,205.53,92.85,8.42,79.09,118.95,386,75,-4.79,-4.9,True
